年度,排名,書名,作者,出版社,借閱次數
108,1,再現世界歷史 ,黃台香,莎士比亞文化 ,430
108,2,大地瑰寶 ,葉農等撰.,大地地理,385
108,3,沖繩玩全指南最新版 :聽島歌嚐美食賞海景走訪琉球況味300點 = Okinawa guide & map ,"林倩伃, 行遍天下記者群文字",宏碩文化發行 ,371
108,4,人類大歷史 :從野獸到扮演上帝 ,哈拉瑞(Yuval Noah Harari)作 ; 林俊宏譯,遠見天下文化出版 ,354
108,5,安妮日記 ,"安妮.法蘭克(Anne Frank)作 ; 大衛.波隆斯基(David Polonsky)繪 ; 呂玉嬋, 葉懿慧譯",愛米粒出版 ,341
108,6,大阪神戶玩全指南 =Osaka.Kobe guide & map ,行遍天下記者群文字.攝影,宏碩文化發行 ,322
108,7,台南海線人文小旅行 :貓編踏查239個史.景.食 ,陳秀琍著,天下雜誌,321
108,8,"流浪日記 :世界,是我的信仰 ",浩子(謝炘昊)著,商周出版 ,310
108,9,京阪神花小錢玩很大 ,陳維玉文 ; 劉耕宏攝,宏碩文化發行 ,291
108,10,第一次自助遊九州超簡單 ,林倩伃文字.攝影,宏碩文化出版 ,279
108,11,大阪.京都.神戶関西三都一日乘車券完全攻略 :一券在手任我遊 ,陳維玉譯,宏碩文化發行 ,278
108,12,臺灣史上最有梗的臺灣史 ,黃震南著 ; 壯兔繪,究竟,276
108,13,為了活下去 :脫北女孩朴研美 ,朴研美著 ; 謝佩妏譯,大塊文化,257
108,14,我只想活著 :七歲女孩的敘利亞烽火日常 ,芭娜.阿拉貝得(Bana Alabed)著 ; 龐元媛譯,遠見天下文化出版 ,254
108,15,第一次自助遊京都超簡單 ,行遍天下記者群文字攝影,宏碩文化發行 ,250
108,16,終戰那一天 :臺灣戰爭世代的故事 ,蘇碩斌等作,衛城出版 ,248
108,17,土耳其玩全指南 =Turkey guide & map ,林穹鷗文字.攝影,宏碩文化發行 ,245
108,18,第一次自助遊京都超簡單 ,行遍天下記者群文字.攝影,宏碩文化發行 ,243
108,19,東京玩全指南 =Tokyo guide & map ,"Manning Tokyo文字攝影 ; 黃貴琳, 林可育主編",宏碩文化發行 ,236
108,20,台南3天2夜這樣玩最喜歡 :240個必拍景點╳15條主題路線輕鬆自由搭配才是旅行王道 ,陳婷芳文字 ; 曾信耀攝影,墨刻出版 ,236
109,1,首爾尋寶記 /,Popcorn Story原作 ; 姜境孝繪 ; 徐月珠譯,三采文化,1622
109,2,NEW全彩漫畫世界歷史 /,"南房秀久原作 ; 近藤二郎監修 ; 加藤廣史漫畫 ; 李彥樺, 卓文怡譯",遠足文化發行,1507
109,3,三國志英雄傳 /,杉田透原作 ; 中島健志漫畫 ; 張琇媛譯,南門書局,1453
109,4,義大利尋寶記 /,Gomdori Co.原作 ; 姜境孝原繪 ; 徐月珠譯,三采文化,1326
109,5,希臘文明尋寶記 /,Gomdori co.文 ; 姜境孝圖 ; 徐月珠譯,三采文化,1000
109,6,日本尋寶記 /,Gomdori Co.原作 ; 姜境孝原繪 ; [徐月珠譯],三采文化,985
109,7,羅馬文明尋寶記 /,Gomdori co.文 ; 姜境孝圖 ; 徐月珠譯,三采文化,970
109,8,濟州島尋寶記 /,Popcorn story原作 ; 姜境孝繪 ; 徐月珠譯,三采文化,961
109,9,埃及文明尋寶記 /,Gomdori co.文 ; 姜境孝圖 ; 徐月珠譯,三采文化,917
109,10,臺灣尋寶記 /,Sweet Factory文 ; 姜境孝圖 ; 徐月珠譯,三采文化,884
109,11,認識台灣歷史 /,吳密察總策劃 ; 許豐明劇本編寫 ; 耿柏瑞(Brian A. Kennedy)英文翻譯,新自然主義 幸福綠光出版 ,882
109,12,土耳其尋寶記 /,Gomdori Co.原作 ; 姜境孝原繪 ; 徐月珠譯,三采文化,830
109,13,泰國尋寶記 /,Gomdori Co.原作 ; 姜境孝原繪 ; 徐月珠譯,三采文化,810
109,14,漫畫版世界偉人傳記  /,坂本幸漫畫 ; 連雪雅譯,野人文化出版 ,809
109,15,加拿大尋寶記 /,Gomdori Co.原編著 ; 姜境孝原繪著 ; 徐月珠譯,三采文化,807
109,16,芬蘭尋寶記 /,Story a.原作 ; 姜境孝原繪 ; 徐月珠譯,三采文化,804
109,17,洛杉磯尋寶記 /,Gomdori co.文 ; 姜境孝圖 ; 徐月珠譯,三采文化,802
109,18,Gogo Kakao friends世界尋寶大冒險 /,金美永文 ; 金正翰圖 ; 許葳譯,三采文化,791
109,19,英國尋寶記 /,Gomdori Co.原編著 ; 姜境孝原繪著 ; 徐月珠譯,三采文化,771
